K,A0_fd_MHz_mm,A0_vg_m_s,A1_fd_MHz_mm,A1_vg_m_s,A2_fd_MHz_mm,A2_vg_m_s,S0_fd_MHz_mm,S0_vg_m_s,S1_fd_MHz_mm,S1_vg_m_s,S2_fd_MHz_mm,S2_vg_m_s
0.7776061776061777,0.4491333018924888,2862.4287157151484,2.0857797374464826,3388.018564478072,4.717724720878756,259.38201762296376,1.3036715045745833,4858.691663210135,2.8570868864432972,-78.848578261066,3.7764618639458383,3000.6375030365016
0.8083397683397684,0.4773062009365421,2895.6195061804683,2.1191557438447806,3433.277490788838,4.720366271625956,281.2218442633457,1.350912837750474,4796.955543987482,2.8568661613427886,36.03310402776697,3.8059584438202845,3029.3020572995883
0.8390733590733591,0.5057878683089614,2925.692908024943,2.1529539111294924,3474.4495483746578,4.723226998239292,304.19750015609316,1.3975268733078146,4730.315851776642,2.8577918961591724,155.6467582100886,3.8357320112267637,3057.2722821610223
0.8698069498069498,0.5345491718510953,2952.91674043049,2.1871354740126865,3511.772361382071,4.726318081744492,328.3224633472273,1.443464360152972,4658.520556142947,2.8599114853508976,280.20730059675407,3.8657758456554476,3084.5627243146882
0.9005405405405407,0.5635634901529063,2977.5371206334603,2.2216638849581645,3545.4623420366115,4.729650828015968,353.60883926891256,1.48867367684577,4581.343414078234,2.8632743233524396,409.90239391315845,3.896083367251774,3111.18762898806
0.9312741312741314,0.5928065064899813,2999.7797786271003,2.2565046129155304,3575.7160126509552,4.733236654929626,380.0674738016969,1.5331011457097647,4498.597872459446,2.86793147635823,544.8786000277614,3.926648134222503,3137.161009807198
0.9620077220077221,0.6222560159976429,3019.851426298883,2.291624955427812,3602.7113910219923,4.737087080566166,407.70805383549305,1.5766914952788427,4410.153414188142,2.8739352063753296,685.2250979085802,3.9574638408982357,3162.496712451102
0.9927413127413128,0.6518917463959686,3037.9411355900666,2.326993864471676,3626.6093920591957,4.741213712331419,436.5391930070473,1.6193884942297128,4315.954041900608,2.8813383244392137,830.9552715070313,3.988524316384907,3187.208473200124
1.0234749034749036,0.6816951921284361,3054.2216893111618,2.3625817859887595,3647.555212650026,4.745628236837154,466.5685006689164,1.6611357754735978,4216.038230122111,2.89019335442214,981.9868357572122,4.019823523771849,3211.3099745110085
1.0542084942084944,0.7116494615164738,3068.8508822822696,2.398360512821624,3665.679678872082,4.750342410370841,497.8026316180767,1.7018778604648206,4110.559227520935,2.9005514974019464,1138.1216155894217,4.051355559870625,3234.8148986991146
1.084942084942085,0.7417391363557116,3081.972757232419,2.4343030506041208,3681.100540942425,4.755368049749419,530.2473153511819,1.741561380518515,3999.8041091467603,2.912461399834463,1299.0265786423697,4.083114655473433,3257.736980372196
1.1156756756756758,0.7719501432516592,3093.7187667546677,2.4703834960338176,3693.923709995419,4.7607170233614635,563.9073626619938,1.7801364738879102,3884.2095261423237,2.925967746815716,1464.2181727512216,4.1150951761178405,3280.090058703412
1.1464092664092664,0.8022696359503174,3104.2088571444256,2.506576926960677,3704.2444328966376,4.766401242150036,598.7866476033523,1.817558315234775,3764.37179270442,2.941109723807719,1633.0523266094679,4.14729162336793,3301.8881295301544
1.1771428571428573,0.8326858878798179,3113.5524726238,2.542859303645438,3712.1484068594,4.772432650301926,634.8880639587296,1.8537887100642667,3641.0489181847224,2.9579194142575176,1804.7225053898292,4.179698636598387,3323.1453981724626
1.2078764478764479,0.863188194129295,3121.8494814095466,2.5792073806564497,3717.712834828373,4.778823215378839,672.2134542711137,1.8887976639546702,3515.1525475781236,2.9764202232800003,1978.2678576894104,4.212310995309065,3343.8763332201925
1.2386100386100387,0.8937667821096151,3129.1910262281963,2.615598628777277,3721.007426946453,4.785584917618046,710.7635103858775,1.9225648193029736,3387.728580940049,2.996625434676919,2152.5926820246095,4.245123621961463,3364.0957209195476
1.2693436293436293,0.9244127301730947,3135.660303090801,2.652011166497844,3722.0953546123637,4.792729738117623,750.53764462049,1.955080645361651,3259.9264699916384,3.0185370154935747,2326.497214479401,4.2781315853573805,3383.8187209898606
1.3000772200772202,0.955117893511433,3141.333272834112,2.6884237005887623,3721.034159474395,4.800269645616478,791.5338300206931,1.9863472742535473,3132.958675130343,3.042144775417003,2498.7182522028743,4.311330104567495,3403.0609235271986
1.330810810810811,0.9858748366971707,3146.2793091292333,2.7248154753774956,3717.876625059842,4.808216581554087,833.7484112732927,2.0163788977602777,3008.0532453104533,3.0674259661562315,2667.9766537862597,4.344714553423373,3421.838406873605
1.3615444015444016,1.0166767722603058,3150.561788637926,2.7611662303766447,107359.97619121592,4.816582443150922,103767.63355225461,2.0452016755334737,2886.4036254903913,3.0943453702143877,2833.0276072130364,4.378280465578281,3440.167796483118
1.3922779922779924,1.0475175047765255,3154.2386283593733,4.825379064141044,105974.29876644287,6.838493789736433,104349.26888098003,2.0728531498351987,2769.1203400388767,3.1228558837921536,2992.709018305555,4.412023540150966,3458.0663244512107
1.423011583011583,1.0783913799573341,3157.3627731382003,4.834618192931684,967.6366973386612,6.858239702231211,2027.7574662303668,2.0993812084054833,2657.1889865135017,3.1528995523094028,3145.983588425035,4.445939647951181,3475.5518892432738
1.4537451737451739,1.109293238276681,3159.982638258909,4.8443114678699795,1014.6473777058418,6.878168104611658,2045.831045563973,2.1248426773253364,2551.4380423280527,3.184408976584605,3291.971074279747,4.480024838292089,3492.643115341052
1.4844787644787645,1.14021837272072,3162.14251161267,4.854470389370767,1062.8249857531628,6.898267637738758,2062.7476863567135,2.1493016540020324,2452.518567422274,3.21730897953933,3429.968650077324,4.514275346382822,3509.3594120476628
1.5152123552123553,1.1711624902830755,3163.882918731688,4.865106288672892,1112.1504491431988,6.918527024541464,2078.5165048432536,2.1728277029024494,2360.896284090195,3.251518410775615,3559.4588919157104,4.548687601291427,3525.7210304675973
1.5459459459459461,1.2021216768567216,3165.2409540133085,4.876230293029243,1162.6009478869091,6.9389350842454665,2093.148149234825,2.1954940335753506,2276.8550550671935,3.286951969499964,3680.106362420076,4.583258234452277,3541.7491186387488
1.5766795366795368,1.2330923652098504,3166.2505814478427,4.8878532871916285,1214.1495306454308,6.959480748118485,2106.6549594093813,2.217375764435623,2200.5097081018903,3.3235219422770426,3791.744849595736,4.617984088707718,3557.4657723000564
1.6074131274131276,1.2640713057616773,3166.9429077438763,4.899985871093509,1266.7647258251382,6.9801530768234645,2119.0511344460538,2.2385483517071543,2131.825574714836,3.3611397762740323,3894.3578934860707,4.6528622278087655,3572.8940813724475
1.6381467181467182,1.295055539902171,3167.3464300470805,4.912638313725715,1320.4101554081135,7.000941279441791,2130.352905192529,2.25908623549483,2070.6420009126305,3.399717436006483,3988.0553436166083,4.6878899463661865,3588.0581692643755
1.668880308880309,1.3260423756146293,3167.4872618460504,4.925820503263546,1375.044159994257,7.0218347342028755,2140.5787090724916,2.2790617287289114,2016.6973519264284,3.439168517914722,4073.0484292730107,4.723064780120238,3602.983224782307
1.6996138996138996,1.3570293652153935,3167.389337523491,4.939541893606186,1430.6194453677163,7.042823010927569,2149.749363501731,2.2985441524700305,1969.6535183873202,3.479409119344444,4149.625334579148,4.758384516516088,3617.6955244450946
1.7303474903474905,1.3880142849785966,3167.0745983552188,4.953811447588684,1487.0827614015434,7.063895895150756,2157.888234551705,2.3175992043318816,1929.1185057974508,3.5203584752345973,4218.128699142166,4.793847205410158,3632.2224402842985
1.7610810810810813,1.4189951165150587,3166.563162571547,4.968637577238924,1544.3746250196127,7.085043413864762,2165.0213967458694,2.3362885357630243,1894.666242000836,3.561939386884327,68734.70520778548,4.829451169798145,91102.8036627869
1.791814671814672,1.449970029724392,3165.873479375514,4.984028081569197,1602.42909932349,7.106255862768466,2171.1777794403606,2.3546695080148656,1865.8532051278307,4.865195016430492,4332.442617609166,6.576329271794774,3660.8350400740164
1.8225482625482627,1.4809373671873578,3165.022469574862,4.999990082511645,1661.1736411591992,7.127523834874746,2176.389295391622,2.3727950947593555,1842.2318292823038,3.6467062761461544,-60076.71987919681,4.901077646092697,-83781.23041769909
1.8532818532818534,1.5118956298695174,3164.0256537548994,5.016529959727383,1720.529029073834,7.148838250275073,2180.6909472926636,2.3907139003474365,1823.3608841336245,3.6897572528655362,4419.1516595886205,4.937098263362143,3689.0612572432437
1.8840154440154442,1.5428434640213762,3162.8972686445923,5.03365328513239,1780.4093827262695,7.170190386831415,2184.120907521108,2.408470265509814,1808.8131659435894,3.733169680840122,4453.131952875905,4.973256385587587,3703.108758409333
1.9147490347490348,1.573779649158803,3161.650374786317,5.051364758086381,1840.7222835078137,7.191571911501158,2186.7205662573106,2.426104436095041,1798.180901306696,3.7768855027778714,4481.35493340125,5.009551850807913,3717.156430498493
1.9454826254826256,1.6047030870698034,3160.2969528011454,5.069668142278741,1901.3690042902017,7.212974911970464,2188.5345446748543,2.4436527744977763,1791.0792740068719,3.8208501306258285,4504.163993732684,5.045984824328451,3731.2379739233293
1.9762162162162162,1.635612791678423,3158.8479922135593,5.088566205412543,1962.2448535511212,7.234391928237259,2189.6106689474545,2.461147997401975,1787.148461663557,3.865012225777543,4521.879511707026,5.082555803557266,3745.387478446879
2.006949806949807,1.6665078797894344,3157.3135737708362,5.108060662823518,2023.239636331622,7.2558159837360465,2189.999902784766,2.4786194270573763,1786.0545251408766,3.9093234685683607,4534.798265278543,5.119265620786751,3759.639190687769
2.0376833976833977,1.697387562562869,3155.7029427165253,5.12815212618298,2084.238231188705,7.277240615600899,2189.756235684268,2.496093246424527,1787.4894407549582,3.9537383270339954,4543.193738126807,5.1561154434810055,3774.027238101582
2.0684169884169887,1.7282511376923428,3154.0245771776245,5.148840058405224,2145.1212782916846,7.298659903603857,2188.9365260816994,2.5135927510814224,1791.1705183146696,3.9982138323852316,4547.317078735563,5.193106771656965,3788.5853089470766
2.0991505791505793,1.7590979822176258,3152.286250324585,5.170122735813481,2205.7659703802783,7.320068497349051,2187.6002991864807,2.5311385929821424,1796.8393951969192,4.042709366531451,4547.3985202151525,5.230241431910106,3803.346286942833
2.12988416988417,1.7899275459191686,3150.4950873660564,5.191997218522902,2266.046934366459,7.341461641255651,2185.80950036156,2.548749012681966,1804.2607542954647,4.087186465335039,4543.6491103655135,5.267521567647434,3818.341839347966
2.1606177606177606,1.8207393452458063,3148.6576177785173,5.214459329855581,2325.837188027508,7.362835196926696,2183.628206415102,2.5664400580118842,1813.2208829906886,4.131608639984649,4536.262635517545,5.304949625053716,3833.601959833759
2.1913513513513516,1.851532957731189,3146.779823192337,5.237503645441824,2385.009152601473,7.384185662483293,2181.1222979777376,2.5842257881090784,1823.5261565760593,4.175941217890735,4525.417649595009,5.342528334380477,3849.1544689507573
2.2220849420849422,1.8823080168584068,3144.8671813176043,5.261123492447228,2443.4357008148218,7.405510188523304,2178.359097610344,2.6021184624187486,1835.001506284112,4.220151203758661,4511.2795413493,5.380260686138564,3865.0244751479477
2.252818532818533,1.9130642073358588,3142.924706255537,5.285310959179253,2500.99121717707,7.426806590374915,2175.4069791079382,2.6201287147505807,1847.4889165525965,4.264207160930945,4494.002589273034,5.418149901841664,3881.2338028125814
2.283552123552124,1.9438012607505928,3140.956985508965,5.310056915059607,2557.552646356926,7.448073356411099,2172.334954349906,2.638265712878666,1860.8459796138632,4.308079112666006,4473.73196563925,5.456199399008113,3897.8003953862935
2.3142857142857145,1.974518951568305,3138.968213977918,5.335351040742934,2613.0005082974094,7.469309652219661,2169.212244955881,2.656537304317628,1874.9445262493682,4.351738462690661,4450.6056598268915,5.494412750226002,3914.7377023329027
