K,A0_fd_MHz_mm,S0_fd_MHz_mm,A0_vg_m_s,S0_vg_m_s
3.635830115830116,3.27732122584758,9.994294158921107,3059.030528997013,1673.274963083677
3.6665637065637067,3.3072395869865856,10.010791185699578,3057.4967234617798,1699.5596539083053
3.6972972972972973,3.3371430190140465,10.027547082893195,3055.9783355435065,1726.202731370402
3.7280308880308883,3.3670316719648805,10.044565397775433,3054.4752013953403,1753.2127147295396
3.758764478764479,3.3969056942535105,10.061849761811068,3052.9871539123997,1780.598310727044
3.7894980694980696,3.426765232645345,10.079403892626303,3051.5140234070423,1808.3684439333156
3.8202316602316606,3.4566104322347644,10.097231596300581,3050.0556382263603,1836.532292455784
3.850965250965251,3.4864414364286826,10.115336770035384,3048.611825319502,1865.099329714838
3.881698841698842,3.516258386935633,10.133723405263432,3047.182410757203,1894.0793729281868
3.9124324324324324,3.546061423759501,10.152395591266071,3045.7672201684036,1923.482639053429
3.9431660231660235,3.575850685197141,10.17135751937704,3044.36607921237,1953.3198089920916
3.973899613899614,3.6056263078413546,10.190613487856057,3042.978813935799,1983.6021006552037
4.004633204633205,3.635388426585494,10.210167907522152,3041.6052511195594,2014.3413519641617
4.035366795366795,3.665137174633224,10.230025308251216,3040.2452186142036,2045.5501143767615
4.066100386100386,3.6948726835096872,10.250190346439224,3038.898545594042,2077.241757517855
4.096833976833977,3.724595083076237,10.270667813546948,3037.5650628526637,2109.4305860769236
4.127567567567568,3.754304501547392,10.29146264585037,3036.244602979714,2142.131969061098
4.158301158301159,3.7840010655090164,10.312579935514282,3034.937000594946,2175.362482033088
4.189034749034749,3.8136848999398656,10.33402494312568,3033.642092531314,2209.1400627529947
4.21976833976834,3.8433561282333417,10.355803111812618,3032.3597179643402,2243.4841798637062
4.2505019305019305,3.8730148722215687,10.377920083077978,3031.089718584495,2278.4160144551424
4.281235521235521,3.9026612522005277,10.400381714470802,3029.831938682153,2313.95865355758
4.311969111969113,3.932295386955786,10.423194099205833,3028.586225263716,2350.137294118409
4.342702702702703,3.9619173937899137,10.446363587825802,3027.3524281579594,2386.9794552184176
4.373436293436294,3.9915273885502858,10.469896811973094,3026.1304000504315,2424.5151954053435
